,,Industry and Commercial,,,,,,,,,,Domestic,,,,,,,,,,Transport,,,,,,,,,,Grand total,,,,,,,,,,"Population  ('000s, mid-year estimate)",,,,,,,,,,Per Capita Emissions (t),,,,,,,,,,,,,,,,
Code,Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000031,Waltham Forest,286.2,306.9,277.0,308.6,258.1,280.4,243.2,256.7,243.3,230.2,498.4,493.6,480.4,487.1,437.9,469.5,411.8,444.2,433.8,361.9,205.8,199.4,197.6,182.3,178.9,178.1,168.1,172.9,172.3,183.1,990.4,999.8,955.0,978.0,874.9,928.0,823.1,873.8,849.5,775.2,226.7,230.7,235.7,242.1,248.1,254.0,259.7,262.6,265.8,268.0,4.4,4.3,4.1,4.0,3.5,3.7,3.2,3.3,3.2,2.9,,,,,,,
E09000032,Wandsworth,531.2,538.4,496.8,417.3,378.1,404.4,355.3,381.3,367.5,335.9,644.3,640.0,625.5,638.3,576.1,618.6,541.2,589.4,573.3,477.2,306.0,270.6,283.8,269.5,250.9,250.0,237.6,235.3,226.0,223.4,"1,481.4","1,449.0","1,406.2","1,325.1","1,205.1","1,273.0","1,134.1","1,206.0","1,166.9","1,036.5",283.2,287.5,291.4,294.3,299.3,302.6,307.7,308.3,310.5,312.1,5.2,5.0,4.8,4.5,4.0,4.2,3.7,3.9,3.8,3.3,,,,,,,
E09000033,Westminster,"2,528.6","2,712.2","2,603.5","2,676.0","2,337.2","2,478.8","2,224.6","2,429.2","2,304.1","1,844.3",504.2,507.5,498.2,503.4,463.4,497.1,439.4,474.1,455.6,371.3,347.0,345.2,329.6,301.4,285.8,285.7,272.2,271.7,266.5,284.0,"3,379.9","3,564.9","3,431.3","3,480.8","3,086.4","3,261.6","2,936.2","3,175.0","3,026.3","2,499.5",223.1,222.8,220.6,218.7,217.0,217.2,219.6,223.9,226.8,233.3,15.1,16.0,15.6,15.9,14.2,15.0,13.4,14.2,13.3,10.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"9,426.4","9,135.4","9,037.8","8,748.2","7,257.0","7,825.8","6,753.5","7,430.2","7,155.4","5,929.2","6,579.5","6,508.1","6,250.7","6,259.6","5,614.2","6,003.0","5,215.0","5,629.3","5,526.7","4,601.3","4,654.0","4,561.2","4,564.7","4,352.1","4,212.6","4,154.6","4,090.5","4,047.6","3,979.2","4,025.0","20,659.9","20,204.7","19,853.3","19,359.9","17,083.9","17,983.4","16,058.9","17,107.1","16,661.4","14,555.6","2,547.1","2,552.6","2,562.0","2,569.3","2,575.4","2,586.9","2,596.4","2,602.3","2,610.5","2,618.7",8.1,7.9,7.7,7.5,6.6,7.0,6.2,6.6,6.4,5.6,,,,,,,
E12000002,North West,"21,355.3","21,218.2","20,368.7","19,941.6","17,169.5","18,585.5","16,106.0","18,099.6","17,268.3","14,539.0","17,716.9","17,624.3","17,068.1","17,057.5","15,357.0","16,368.9","14,234.6","15,269.3","14,833.1","12,303.8","10,113.1","9,920.1","9,943.2","9,576.7","9,309.3","9,143.1","8,978.0","8,819.6","8,657.4","8,768.1","49,185.3","48,762.6","47,380.0","46,575.8","41,835.8","44,097.4","39,318.6","42,188.5","40,758.8","35,610.9","6,870.0","6,901.6","6,929.3","6,958.5","6,986.2","7,019.9","7,056.0","7,084.3","7,103.3","7,133.0",7.2,7.1,6.8,6.7,6.0,6.3,5.6,6.0,5.7,5.0,,,,,,,
E12000003,Yorkshire and the Humber,"17,610.8","17,370.8","16,500.0","16,144.8","14,108.8","15,220.7","13,745.3","14,462.7","14,184.4","12,102.1","13,352.3","13,212.8","12,679.9","12,688.5","11,473.4","12,365.1","10,808.6","11,542.7","11,252.7","9,461.9","8,670.9","8,570.6","8,692.8","8,331.5","8,030.5","7,886.8","7,737.5","7,608.6","7,467.5","7,566.6","39,634.0","39,154.2","37,872.7","37,164.9","33,612.8","35,472.7","32,291.4","33,614.0","32,904.6","29,130.6","4,329.1","4,366.7","4,404.8","4,441.1","4,471.7","4,507.1","4,537.4","4,567.7","4,598.4","4,637.4",7.8,7.6,7.3,7.1,6.4,6.8,6.1,6.3,6.2,5.4,,,,,,,
E12000004,East Midlands,"14,284.3","14,062.1","13,286.9","13,163.0","11,677.6","12,390.4","11,005.9","11,747.5","11,591.5","10,380.2","11,376.4","11,287.7","10,961.8","10,987.0","9,891.9","10,686.3","9,336.2","9,996.4","9,789.2","8,224.8","8,934.7","8,926.4","9,048.0","8,692.8","8,392.8","8,330.3","8,184.3","8,087.2","8,011.9","8,156.9","34,595.5","34,276.2","33,296.8","32,842.8","29,962.4","31,407.0","28,526.4","29,831.2","29,392.6","26,761.9","5,380.7","5,415.5","5,451.9","5,496.2","5,528.0","5,565.9","5,608.7","5,642.6","5,674.7","5,713.3",8.0,7.8,7.6,7.4,6.7,7.0,6.3,6.5,6.4,5.8,,,,,,,
E12000005,West Midlands,"15,759.2","15,926.3","15,258.7","14,522.1","12,411.0","13,306.7","12,164.8","12,939.5","12,714.2","11,232.8","13,309.7","13,419.1","12,967.0","12,982.8","11,686.1","12,528.9","10,940.3","11,699.8","11,393.3","9,561.6","9,507.4","9,355.0","9,440.7","9,129.2","8,845.6","8,714.5","8,579.9","8,454.6","8,330.5","8,469.3","38,576.3","38,700.4","37,666.4","36,634.1","32,942.7","34,550.1","31,685.0","33,093.9","32,438.0","29,263.7","5,562.7","5,606.3","5,653.5","5,708.4","5,751.4","5,807.4","5,862.4","5,907.3","5,954.3","6,018.4",7.2,7.1,6.9,6.7,6.0,6.2,5.6,5.9,5.7,5.1,,,,,,,
E12000006,East,"15,690.8","15,513.9","14,967.2","14,842.8","13,312.5","14,325.5","12,562.5","13,720.9","13,225.6","11,383.3","14,100.1","14,193.0","13,789.1","13,745.0","12,493.5","13,510.3","11,749.1","12,658.0","12,296.4","10,314.2","11,839.7","11,850.4","11,960.9","11,525.9","11,153.6","11,053.2","10,843.6","10,717.1","10,665.1","10,861.9","41,630.6","41,557.4","40,717.2","40,113.7","36,959.6","38,888.9","35,155.2","37,096.0","36,187.1","32,559.4","7,519.0","7,597.8","7,693.5","7,812.2","7,942.6","8,061.5","8,204.4","8,308.4","8,416.5","8,538.7",7.5,7.4,7.2,7.0,6.4,6.7,6.0,6.3,6.1,5.4,,,,,,,
E12000007,London,"20,209.0","21,603.8","20,811.0","21,078.6","18,637.7","19,814.1","17,542.4","19,352.1","18,243.8","15,241.5","17,148.3","17,064.1","16,647.7","16,846.3","15,220.4","16,367.3","14,312.9","15,464.6","15,093.6","12,556.9","8,801.3","8,638.7","8,538.5","8,027.2","7,778.4","7,679.9","7,443.2","7,340.9","7,193.6","7,304.9","46,158.6","47,306.6","45,997.2","45,952.2","41,636.5","43,861.3","39,298.5","42,157.6","40,531.0","35,103.2","8,202.9","8,270.9","8,351.4","8,426.4","8,490.9","8,577.8","8,652.8","8,724.7","8,792.8","8,873.8",6.1,6.2,6.0,5.9,5.2,5.4,4.8,5.1,4.8,4.1,,,,,,,
E12000008,South East,"20,924.7","21,018.5","20,401.9","20,211.0","17,931.8","19,585.5","17,464.6","18,297.4","17,596.0","14,818.0","20,786.2","20,853.1","20,266.0","20,409.0","18,473.8","19,882.8","17,348.2","18,766.1","18,262.5","15,313.9","15,293.5","15,034.7","15,132.6","14,510.7","14,034.8","13,856.3","13,650.0","13,449.2","13,283.9","13,536.8","57,004.5","56,906.3","55,800.5","55,130.7","50,440.4","53,324.7","48,462.7","50,512.6","49,142.4","43,668.7","5,086.1","5,119.8","5,170.5","5,205.0","5,226.8","5,261.3","5,300.8","5,339.6","5,377.6","5,423.3",6.9,6.9,6.7,6.5,5.9,6.2,5.6,5.8,5.6,4.9,,,,,,,
E12000009,South West,"14,882.3","14,637.0","14,172.4","13,514.3","12,122.8","12,678.6","11,469.8","12,224.9","11,794.8","10,798.2","12,526.8","12,592.7","12,144.6","12,181.9","11,074.2","11,862.8","10,313.8","11,144.9","10,812.3","9,072.4","9,725.6","9,713.8","9,847.1","9,607.2","9,297.3","9,175.8","8,993.6","8,855.5","8,784.1","8,924.8","37,134.8","36,943.5","36,164.1","35,303.4","32,494.3","33,717.1","30,777.2","32,225.3","31,391.1","28,795.4","5,086.3","5,119.4","5,170.6","5,205.3","5,227.1","5,261.3","5,301.1","5,339.6","5,377.6",,7.3,7.2,7.0,6.8,6.2,6.4,5.8,6.0,5.8,5.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
